Empresa;Dt. Fechamento;Cód. Item;Descrição; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ; [1310] Estoque de Abertura ; [1310] Vol. Recebido ; [1310] Vol. Disponível ; [1310] Vol. Total das Saídas ; [1310] Estoque Escritural ; [1310] Vl. Perda ; [1310] Vl. Ganho ; [1310] Vol. Aferido 
POSTO TESTE - Matriz;10/01/2019;3;ETANOL COMUM;7.630,00; -   ;7.630,00;1.886,43;5.743,57;3,57; -   ;5.740,00;2;7.630,00; -   ;7.630,00;1.886,43;5.743,57;3,57; -   ;5.740,00
POSTO TESTE - Matriz;10/01/2019;782;DIESEL B S10 COMUM;6.173,00; -   ;6.173,00;374,3;5.798,70;7,7; -   ;5.791,00;6;6.173,00; -   ;6.173,00;374,3;5.798,70;7,7; -   ;5.791,00
POSTO TESTE - Matriz;11/01/2019;1;GASOLINA COMUM;15.799,00; -   ;15.799,00;3.788,45;12.010,55; -   ;19,45;12.030,00;3;15.799,00; -   ;15.799,00;3.788,45;12.010,55; -   ;19,45;12.030,00
POSTO TESTE - Matriz;11/01/2019;2;GASOLINA ADITIVADA;8.805,00; -   ;8.805,00;1.175,15;7.629,85;17,85; -   ;7.612,00;1;8.805,00; -   ;8.805,00;1.175,15;7.629,85;17,85; -   ;7.612,00
POSTO TESTE - Matriz;11/01/2019;3;ETANOL COMUM;5.740,00; -   ;5.740,00;1.924,22;3.815,78; -   ;17,22;3.833,00;2;5.740,00; -   ;5.740,00;1.924,22;3.815,78; -   ;17,22;3.833,00
POSTO TESTE - Matriz;11/01/2019;782;DIESEL B S10 COMUM;5.791,00; -   ;5.791,00;575,02;5.215,98;11,98; -   ;5.204,00;6;5.791,00; -   ;5.791,00;575,02;5.215,98;11,98; -   ;5.204,00
POSTO TESTE - Matriz;12/01/2019;1;GASOLINA COMUM;12.030,00;5.000,00;17.030,00;2.320,02;14.709,98; -   ;13,02;14.723,00;3;12.030,00;5.000,00;17.030,00;2.320,02;14.709,98; -   ;13,02;14.723,00
POSTO TESTE - Matriz;12/01/2019;2;GASOLINA ADITIVADA;7.612,00; -   ;7.612,00;1.780,40;5.831,60;11,6; -   ;5.820,00;1;7.612,00; -   ;7.612,00;1.780,40;5.831,60;11,6; -   ;5.820,00
POSTO TESTE - Matriz;12/01/2019;3;ETANOL COMUM;3.833,00;5.000,00;8.833,00;1.998,15;6.834,85; -   ;2,15;6.837,00;2;3.833,00;5.000,00;8.833,00;1.998,15;6.834,85; -   ;2,15;6.837,00
POSTO TESTE - Matriz;12/01/2019;782;DIESEL B S10 COMUM;5.204,00; -   ;5.204,00;404,87;4.799,13;13,13; -   ;4.786,00;6;5.204,00; -   ;5.204,00;404,87;4.799,13;13,13; -   ;4.786,00
POSTO TESTE - Matriz;13/01/2019;1;GASOLINA COMUM;14.723,00; -   ;14.723,00;3.148,45;11.574,55; -   ;24,45;11.599,00;3;14.723,00; -   ;14.723,00;3.148,45;11.574,55; -   ;24,45;11.599,00
POSTO TESTE - Matriz;13/01/2019;2;GASOLINA ADITIVADA;5.820,00; -   ;5.820,00;528,24;5.291,76;1,76; -   ;5.290,00;1;5.820,00; -   ;5.820,00;528,24;5.291,76;1,76; -   ;5.290,00
POSTO TESTE - Matriz;13/01/2019;3;ETANOL COMUM;6.837,00; -   ;6.837,00;1.161,36;5.675,64;5,64; -   ;5.670,00;2;6.837,00; -   ;6.837,00;1.161,36;5.675,64;5,64; -   ;5.670,00
POSTO TESTE - Matriz;13/01/2019;782;DIESEL B S10 COMUM;4.786,00; -   ;4.786,00;108,84;4.677,16;2,16; -   ;4.675,00;6;4.786,00; -   ;4.786,00;108,84;4.677,16;2,16; -   ;4.675,00
POSTO TESTE - Matriz;14/01/2019;1;GASOLINA COMUM;11.599,00;10.000,00;21.599,00;2.922,35;18.676,65; -   ;13,35;18.690,00;3;11.599,00;10.000,00;21.599,00;2.922,35;18.676,65; -   ;13,35;18.690,00
POSTO TESTE - Matriz;14/01/2019;2;GASOLINA ADITIVADA;5.290,00; -   ;5.290,00;1.614,80;3.675,20;5,2; -   ;3.670,00;1;5.290,00; -   ;5.290,00;1.614,80;3.675,20;5,2; -   ;3.670,00
POSTO TESTE - Matriz;14/01/2019;3;ETANOL COMUM;5.670,00; -   ;5.670,00;1.700,35;3.969,65; -   ;19,35;3.989,00;2;5.670,00; -   ;5.670,00;1.700,35;3.969,65; -   ;19,35;3.989,00
POSTO TESTE - Matriz;14/01/2019;782;DIESEL B S10 COMUM;4.675,00; -   ;4.675,00;485,64;4.189,36; -   ;3,64;4.193,00;6;4.675,00; -   ;4.675,00;485,64;4.189,36; -   ;3,64;4.193,00
POSTO TESTE - Matriz;15/01/2019;1;GASOLINA COMUM;18.690,00; -   ;18.690,00;3.612,25;15.077,75;7,75; -   ;15.070,00;3;18.690,00; -   ;18.690,00;3.612,25;15.077,75;7,75; -   ;15.070,00
POSTO TESTE - Matriz;15/01/2019;2;GASOLINA ADITIVADA;3.670,00;5.000,00;8.670,00;703,09;7.966,91; -   ;32,09;7.999,00;1;3.670,00;5.000,00;8.670,00;703,09;7.966,91; -   ;32,09;7.999,00
POSTO TESTE - Matriz;15/01/2019;3;ETANOL COMUM;3.989,00;5.000,00;8.989,00;1.458,97;7.530,03; -   ;7,97;7.538,00;2;3.989,00;5.000,00;8.989,00;1.458,97;7.530,03; -   ;7,97;7.538,00
POSTO TESTE - Matriz;15/01/2019;782;DIESEL B S10 COMUM;4.193,00; -   ;4.193,00;351,03;3.841,97;20,97; -   ;3.821,00;6;4.193,00; -   ;4.193,00;351,03;3.841,97;20,97; -   ;3.821,00
POSTO TESTE - Matriz;16/01/2019;1;GASOLINA COMUM;15.070,00; -   ;15.070,00;2.630,91;12.439,09; -   ;17,91;12.457,00;3;15.070,00; -   ;15.070,00;2.630,91;12.439,09; -   ;17,91;12.457,00
POSTO TESTE - Matriz;16/01/2019;2;GASOLINA ADITIVADA;7.999,00; -   ;7.999,00;1.168,48;6.830,52;2,52; -   ;6.828,00;1;7.999,00; -   ;7.999,00;1.168,48;6.830,52;2,52; -   ;6.828,00
POSTO TESTE - Matriz;16/01/2019;3;ETANOL COMUM;7.538,00; -   ;7.538,00;1.585,29;5.952,71;2,71; -   ;5.950,00;2;7.538,00; -   ;7.538,00;1.585,29;5.952,71;2,71; -   ;5.950,00
POSTO TESTE - Matriz;16/01/2019;782;DIESEL B S10 COMUM;3.821,00; -   ;3.821,00;698,25;3.122,75;9,75; -   ;3.113,00;6;3.821,00; -   ;3.821,00;698,25;3.122,75;9,75; -   ;3.113,00
POSTO TESTE - Matriz;17/01/2019;1;GASOLINA COMUM;12.457,00;5.000,00;17.457,00;2.249,43;15.207,57; -   ;42,43;15.250,00;3;12.457,00;5.000,00;17.457,00;2.249,43;15.207,57; -   ;42,43;15.250,00
POSTO TESTE - Matriz;17/01/2019;2;GASOLINA ADITIVADA;6.828,00; -   ;6.828,00;1.441,23;5.386,77;10,77; -   ;5.376,00;1;6.828,00; -   ;6.828,00;1.441,23;5.386,77;10,77; -   ;5.376,00
POSTO TESTE - Matriz;17/01/2019;3;ETANOL COMUM;5.950,00; -   ;5.950,00;1.640,02;4.309,98;4,98; -   ;4.305,00;2;5.950,00; -   ;5.950,00;1.640,02;4.309,98;4,98; -   ;4.305,00
POSTO TESTE - Matriz;17/01/2019;782;DIESEL B S10 COMUM;3.113,00;5.000,00;8.113,00;412,87;7.700,13; -   ;42,87;7.743,00;6;3.113,00;5.000,00;8.113,00;412,87;7.700,13; -   ;42,87;7.743,00
POSTO TESTE - Matriz;18/01/2019;1;GASOLINA COMUM;15.250,00; -   ;15.250,00;3.697,11;11.552,89; -   ;27,11;11.580,00;3;15.250,00; -   ;15.250,00;3.697,11;11.552,89; -   ;27,11;11.580,00
POSTO TESTE - Matriz;18/01/2019;2;GASOLINA ADITIVADA;5.376,00; -   ;5.376,00;1.115,67;4.260,33;10,33; -   ;4.250,00;1;5.376,00; -   ;5.376,00;1.115,67;4.260,33;10,33; -   ;4.250,00
POSTO TESTE - Matriz;18/01/2019;3;ETANOL COMUM;4.305,00; -   ;4.305,00;1.747,63;2.557,37; -   ;13,63;2.571,00;2;4.305,00; -   ;4.305,00;1.747,63;2.557,37; -   ;13,63;2.571,00
POSTO TESTE - Matriz;18/01/2019;782;DIESEL B S10 COMUM;7.743,00; -   ;7.743,00;1.140,74;6.602,26; -   ;25,74;6.628,00;6;7.743,00; -   ;7.743,00;1.140,74;6.602,26; -   ;25,74;6.628,00
POSTO TESTE - Matriz;19/01/2019;1;GASOLINA COMUM;11.580,00;5.000,00;16.580,00;4.052,25;12.527,75; -   ;3,25;12.531,00;3;11.580,00;5.000,00;16.580,00;4.052,25;12.527,75; -   ;3,25;12.531,00
POSTO TESTE - Matriz;19/01/2019;2;GASOLINA ADITIVADA;4.250,00; -   ;4.250,00;900,24;3.349,76;4,76; -   ;3.345,00;1;4.250,00; -   ;4.250,00;900,24;3.349,76;4,76; -   ;3.345,00
POSTO TESTE - Matriz;19/01/2019;3;ETANOL COMUM;2.571,00;5.000,00;7.571,00;1.686,82;5.884,18; -   ;33,82;5.918,00;2;2.571,00;5.000,00;7.571,00;1.686,82;5.884,18; -   ;33,82;5.918,00
POSTO TESTE - Matriz;19/01/2019;782;DIESEL B S10 COMUM;6.628,00; -   ;6.628,00;388,84;6.239,16;10,16; -   ;6.229,00;6;6.628,00; -   ;6.628,00;388,84;6.239,16;10,16; -   ;6.229,00
POSTO TESTE - Matriz;20/01/2019;1;GASOLINA COMUM;12.531,00; -   ;12.531,00;3.465,77;9.065,23;10,23; -   ;9.055,00;3;12.531,00; -   ;12.531,00;3.465,77;9.065,23;10,23; -   ;9.055,00
POSTO TESTE - Matriz;20/01/2019;2;GASOLINA ADITIVADA;3.345,00; -   ;3.345,00;420,66;2.924,34;5,34; -   ;2.919,00;1;3.345,00; -   ;3.345,00;420,66;2.924,34;5,34; -   ;2.919,00
POSTO TESTE - Matriz;20/01/2019;3;ETANOL COMUM;5.918,00; -   ;5.918,00;1.405,92;4.512,08; -   ;20,92;4.533,00;2;5.918,00; -   ;5.918,00;1.405,92;4.512,08; -   ;20,92;4.533,00
POSTO TESTE - Matriz;20/01/2019;782;DIESEL B S10 COMUM;6.229,00; -   ;6.229,00;208,9;6.020,10;7,1; -   ;6.013,00;6;6.229,00; -   ;6.229,00;208,9;6.020,10;7,1; -   ;6.013,00
POSTO TESTE - Matriz;21/01/2019;1;GASOLINA COMUM;9.055,00;5.000,00;14.055,00;3.920,23;10.134,77;31,77; -   ;10.103,00;3;9.055,00;5.000,00;14.055,00;3.920,23;10.134,77;31,77; -   ;10.103,00
POSTO TESTE - Matriz;21/01/2019;2;GASOLINA ADITIVADA;2.919,00;5.000,00;7.919,00;1.069,77;6.849,23; -   ;7,77;6.857,00;1;2.919,00;5.000,00;7.919,00;1.069,77;6.849,23; -   ;7,77;6.857,00
POSTO TESTE - Matriz;21/01/2019;3;ETANOL COMUM;4.533,00;5.000,00;9.533,00;1.785,49;7.747,51;2,51; -   ;7.745,00;2;4.533,00;5.000,00;9.533,00;1.785,49;7.747,51;2,51; -   ;7.745,00
POSTO TESTE - Matriz;21/01/2019;782;DIESEL B S10 COMUM;6.013,00; -   ;6.013,00;479,11;5.533,89;9,89; -   ;5.524,00;6;6.013,00; -   ;6.013,00;479,11;5.533,89;9,89; -   ;5.524,00
POSTO TESTE - Matriz;22/01/2019;1;GASOLINA COMUM;10.103,00; -   ;10.103,00;2.857,18;7.245,82;5,82; -   ;7.240,00;3;10.103,00; -   ;10.103,00;2.857,18;7.245,82;5,82; -   ;7.240,00
POSTO TESTE - Matriz;22/01/2019;2;GASOLINA ADITIVADA;6.857,00; -   ;6.857,00;916,11;5.940,89;22,89; -   ;5.918,00;1;6.857,00; -   ;6.857,00;916,11;5.940,89;22,89; -   ;5.918,00
POSTO TESTE - Matriz;22/01/2019;3;ETANOL COMUM;7.745,00; -   ;7.745,00;1.890,06;5.854,94; -   ;10,06;5.865,00;2;7.745,00; -   ;7.745,00;1.890,06;5.854,94; -   ;10,06;5.865,00
POSTO TESTE - Matriz;22/01/2019;782;DIESEL B S10 COMUM;5.524,00; -   ;5.524,00;418,42;5.105,58;12,58; -   ;5.093,00;6;5.524,00; -   ;5.524,00;418,42;5.105,58;12,58; -   ;5.093,00
POSTO TESTE - Matriz;23/01/2019;1;GASOLINA COMUM;7.240,00;5.000,00;12.240,00;3.896,69;8.343,31;3,31; -   ;8.340,00;3;7.240,00;5.000,00;12.240,00;3.896,69;8.343,31;3,31; -   ;8.340,00
POSTO TESTE - Matriz;23/01/2019;2;GASOLINA ADITIVADA;5.918,00;5.000,00;10.918,00;1.247,58;9.670,42; -   ;9,58;9.680,00;1;5.918,00;5.000,00;10.918,00;1.247,58;9.670,42; -   ;9,58;9.680,00
POSTO TESTE - Matriz;23/01/2019;3;ETANOL COMUM;5.865,00; -   ;5.865,00;1.549,11;4.315,89;5,89; -   ;4.310,00;2;5.865,00; -   ;5.865,00;1.549,11;4.315,89;5,89; -   ;4.310,00
POSTO TESTE - Matriz;23/01/2019;782;DIESEL B S10 COMUM;5.093,00; -   ;5.093,00;512,52;4.580,48; -   ;0,52;4.581,00;6;5.093,00; -   ;5.093,00;512,52;4.580,48; -   ;0,52;4.581,00
POSTO TESTE - Matriz;24/01/2019;1;GASOLINA COMUM;8.340,00;5.000,00;13.340,00;4.864,41;8.475,59;5,59; -   ;8.470,00;3;8.340,00;5.000,00;13.340,00;4.864,41;8.475,59;5,59; -   ;8.470,00
POSTO TESTE - Matriz;24/01/2019;2;GASOLINA ADITIVADA;9.680,00; -   ;9.680,00;909,65;8.770,35;10,35; -   ;8.760,00;1;9.680,00; -   ;9.680,00;909,65;8.770,35;10,35; -   ;8.760,00
POSTO TESTE - Matriz;24/01/2019;3;ETANOL COMUM;4.310,00;5.000,00;9.310,00;2.079,43;7.230,57; -   ;20,43;7.251,00;2;4.310,00;5.000,00;9.310,00;2.079,43;7.230,57; -   ;20,43;7.251,00
POSTO TESTE - Matriz;24/01/2019;782;DIESEL B S10 COMUM;4.581,00; -   ;4.581,00;566,64;4.014,36; -   ;9,64;4.024,00;6;4.581,00; -   ;4.581,00;566,64;4.014,36; -   ;9,64;4.024,00
POSTO TESTE - Matriz;25/01/2019;1;GASOLINA COMUM;8.470,00; -   ;8.470,00;2.971,05;5.498,95;8,95; -   ;5.490,00;3;8.470,00; -   ;8.470,00;2.971,05;5.498,95;8,95; -   ;5.490,00
POSTO TESTE - Matriz;25/01/2019;2;GASOLINA ADITIVADA;8.760,00; -   ;8.760,00;1.529,19;7.230,81; -   ;19,19;7.250,00;1;8.760,00; -   ;8.760,00;1.529,19;7.230,81; -   ;19,19;7.250,00
POSTO TESTE - Matriz;25/01/2019;3;ETANOL COMUM;7.251,00; -   ;7.251,00;2.050,96;5.200,04;11,04; -   ;5.189,00;2;7.251,00; -   ;7.251,00;2.050,96;5.200,04;11,04; -   ;5.189,00
POSTO TESTE - Matriz;25/01/2019;782;DIESEL B S10 COMUM;4.024,00; -   ;4.024,00;772,68;3.251,32; -   ;11,68;3.263,00;6;4.024,00; -   ;4.024,00;772,68;3.251,32; -   ;11,68;3.263,00
POSTO TESTE - Matriz;26/01/2019;1;GASOLINA COMUM;5.490,00;10.000,00;15.490,00;4.337,66;11.152,34;10,34; -   ;11.142,00;3;5.490,00;10.000,00;15.490,00;4.337,66;11.152,34;10,34; -   ;11.142,00
POSTO TESTE - Matriz;26/01/2019;2;GASOLINA ADITIVADA;7.250,00; -   ;7.250,00;887,679;6.362,32; -   ;7,679;6.370,00;1;7.250,00; -   ;7.250,00;887,679;6.362,32; -   ;7,679;6.370,00
POSTO TESTE - Matriz;26/01/2019;3;ETANOL COMUM;5.189,00; -   ;5.189,00;2.163,77;3.025,23;5,23; -   ;3.020,00;2;5.189,00; -   ;5.189,00;2.163,77;3.025,23;5,23; -   ;3.020,00
POSTO TESTE - Matriz;26/01/2019;782;DIESEL B S10 COMUM;3.263,00; -   ;3.263,00;625,29;2.637,71; -   ;7,9;2.645,00;6;3.263,00; -   ;3.263,00;625,29;2.637,71; -   ;7,9;2.645,00
POSTO TESTE - Matriz;27/01/2019;1;GASOLINA COMUM;11.142,00; -   ;11.142,00;3.929,73;7.212,27; -   ;35,73;7.248,00;3;11.142,00; -   ;11.142,00;3.929,73;7.212,27; -   ;35,73;7.248,00
POSTO TESTE - Matriz;27/01/2019;2;GASOLINA ADITIVADA;6.370,00; -   ;6.370,00;365,63;6.004,37; -   ;19,63;6.024,00;1;6.370,00; -   ;6.370,00;365,63;6.004,37; -   ;19,63;6.024,00
POSTO TESTE - Matriz;27/01/2019;3;ETANOL COMUM;3.020,00; -   ;3.020,00;1.429,00;1.591,00;1; -   ;1.590,00;2;3.020,00; -   ;3.020,00;1.429,00;1.591,00;1; -   ;1.590,00
POSTO TESTE - Matriz;27/01/2019;782;DIESEL B S10 COMUM;2.645,00; -   ;2.645,00;259,2;2.385,80; -   ;4,2;2.390,00;6;2.645,00; -   ;2.645,00;259,2;2.385,80; -   ;4,2;2.390,00
POSTO TESTE - Matriz;28/01/2019;1;GASOLINA COMUM;7.248,00;5.000,00;12.248,00;3.983,27;8.264,73; -   ;35,269;8.300,00;3;7.248,00;5.000,00;12.248,00;3.983,27;8.264,73; -   ;35,269;8.300,00
POSTO TESTE - Matriz;28/01/2019;2;GASOLINA ADITIVADA;6.024,00; -   ;6.024,00;1.278,98;4.745,02; -   ;4,979;4.750,00;1;6.024,00; -   ;6.024,00;1.278,98;4.745,02; -   ;4,979;4.750,00
POSTO TESTE - Matriz;28/01/2019;3;ETANOL COMUM;1.590,00;5.000,00;6.590,00;1.535,14;5.054,86; -   ;14,139;5.069,00;2;1.590,00;5.000,00;6.590,00;1.535,14;5.054,86; -   ;14,139;5.069,00
